ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	ALIGNMENT	COGID	COGIDS	MORPHEMES	COGNACY	NOTE
1	Karo	ABOVE	naʔot	naʔot	n a ʔ o t	n a ʔ o t	4182	411	ABOVE	emcimade	
809	Makurap	ABOVE	teteʔ	teteʔ	t e t e ʔ	- t e t e ʔ	2745	979	ABOVE	emcimade1	
1159	Wayoro	ABOVE	tere	tere	t e r e	- t e r e -	2745	979	ABOVE	emcimade1	
1869	Akuntsu	ABOVE	top	top	t o p	t o p	5	1	ABOVE	emcimade	
2707	Gavião	ABOVE	tára	tára	t á r a	t á r a	1	3	ABOVE	emcimade1	
3892	Surui-Paiter	ABOVE	enu	enu	e n u	e n u	6	6	ABOVE	emcimade	
4223	Karitiana	ABOVE	anigokɨp / okɨp	anigokɨp	a n i g o k ɨ p	a n i g o k ɨ p	4	5	ABOVE	emcimade	Does not distinguish on and over (Everett, 2013: 84)
4224	Karitiana	ABOVE	anigokɨp / okɨp	okɨp	o k ɨ p	o - - k ɨ - - p	4	5	ABOVE	emcimade	
5018	Juruna	ABOVE	tʃade	tʃade	tʃ a d e	- tʃ a d e -	2745	979	ABOVE	emcimade1	
5351	Mundurukú	ABOVE	dʒedʒé	dʒedʒé	dʒ e dʒ é	- dʒ e dʒ é -	2745	979	ABOVE	emcimade1	
5738	Kuruaya	ABOVE	dede	dede	d e d e	- d e d e -	2745	979	ABOVE	emcimade1	
6035	Mawe	ABOVE	tote	tote	t o t e	- t o t e -	2745	979	ABOVE	emcimade1	
6409	Aweti	ABOVE	ʔapo	ʔapo	ʔ a p o	ʔ a p o	1	3	ABOVE	emcimade	
6705	Parakana	ABOVE	ɨwate	ɨwate	ɨ w a + t e	- ɨ w a + t e	2	2 7	LOW DIFFERENT	emcimade3	
7065	Asurini_Tocantins	ABOVE	ʔarimo	ʔarimo	ʔ a r i + m o	ʔ a r i + m o	1	3 17	ABOVE THERE	emcimade2	
7295	Surui_Aikewara	ABOVE	ɨwete	ɨwete	ɨ w e + t e	- ɨ w e + t e	2	2 7	LOW DIFFERENT	emcimade3	
7626	Tapirape	ABOVE	ʔarimo	ʔarimo	ʔ a r i + m o	ʔ a r i + m o	1	3 17	ABOVE THERE	emcimade2	
7897	Tembe	ABOVE	ʔaramo / iwate	ʔaramo	ʔ a r a + m o	ʔ a r a + m o	1	3 17	ABOVE THERE	emcimade23	
7898	Tembe	ABOVE	ʔaramo / iwate	iwate	i w a + t e	- i w a + t e	2	2 7	LOW DIFFERENT	emcimade23	
8231	Guajajara	ABOVE	ʔaromo	ʔaromo	ʔ a r o + m o	ʔ a r o + m o	1	3 17	ABOVE THERE	emcimade2	
8567	Apiaka	ABOVE	iwate	iwate	i w a + t e	- i w a + t e	2	2 7	LOW DIFFERENT	emcimade3	
8815	Parintintin	ABOVE	ʔara	ʔara	ʔ a r a	ʔ a r a	1	3	ABOVE	emcimade2	
9181	Amondawa	ABOVE	ʔarimo	ʔarimo	ʔ a r i + m o	ʔ a r i + m o	1	3 17	ABOVE THERE	emcimade2	
9482	Tenharim	ABOVE	ʔara	ʔara	ʔ a r a	ʔ a r a	1	3	ABOVE	emcimade2	
9947	Urueuwauwau	ABOVE	ʔarimo	ʔarimo	ʔ a r i + m o	ʔ a r i + m o	1	3 17	ABOVE THERE	emcimade2	
10202	Wirafed	ABOVE	árimo	árimo	á r i + m o	- á r i + m o	1	3 17	ABOVE THERE	emcimade2	
10297	Kayabi	ABOVE	ʔarimũ	ʔarimũ	ʔ a r i + m ũ	ʔ a r i + m ũ	1	3 17	ABOVE THERE	emcimade2	
10531	Arawete	ABOVE	uhe	uhe	u h e	- u h e -	3	4	ABOVE	emcimade	
10900	Guaja	ABOVE	ehe	ehe	e h e	- e h e -	3	4	ABOVE	emcimade	
11154	Amanaye	ABOVE	ɨwatá	ɨwatá	ɨ w a + t á	- ɨ w a + t á	2	2 7	LOW DIFFERENT	emcimade3	
11243	Teko	ABOVE	ʔal / wate kɨti	ʔal	ʔ a l	ʔ a l	1	3	ABOVE	emcimade23	
11244	Teko	ABOVE	ʔar / wate kɨti	wate kɨti	w a t e + k ɨ t i	w a t e + k ɨ t i	2	27 34	HIGH DIRECTIVE	emcimade23	
11614	Wayampi	ABOVE	alɨwo / wate	alɨwo	a l ɨ + w o	- a l ɨ + w o	1	3 17	ABOVE THERE	emcimade23	
11615	Wayampi	ABOVE	alɨwo / wate	wate	w a + t e	- - w a + t e	2	2 7	LOW DIFFERENT	emcimade23	
12019	Zoe	ABOVE	ʔat / wate	ʔat	ʔ a t	ʔ a t -	1	3	ABOVE	emcimade23	
12020	Zoe	ABOVE	ʔat / wate	wate	w a + t e	- - w a + t e	2	2 7	LOW DIFFERENT	emcimade23	
12260	Kaapor	ABOVE	ʔar	ʔar	ʔ a r	ʔ a r -	1	3	ABOVE	emcimade2	
12577	Anambe	ABOVE	aha / amũ	aha	a h a	- a h a -	3	4	ABOVE	emcimade	
12578	Anambe	ABOVE	aha / amũ	amũ	a + m ũ	- a - - + m ũ	1	3 17	ABOVE THERE	emcimade	
12796	Turiwara	ABOVE	ɨwaterɨ	ɨwaterɨ	ɨ w a + t e + r ɨ	- ɨ w a + t e + r ɨ - -	2	2 7 874	LOW DIFFERENT ?	emcimade3	
12852	Kamajura	ABOVE	ʔarim	ʔarim	ʔ a r i + m	ʔ a r i + m -	1	3 17	ABOVE THERE	emcimade2	
13129	Asurini_Xingu	ABOVE	árimo	árimo	á r i + m o	- á r i + m o	1	3 17	ABOVE THERE	emcimade2	
13394	Ava_Canoeiro	ABOVE	ɨwati	ɨwati	ɨ w a + t i	- ɨ w a + t i	2	2 7	LOW DIFFERENT	emcimade3	
13609	Tupinamba	ABOVE	ʔaɾi	ʔaɾi	ʔ a ɾ i	ʔ a ɾ i	1	3	ABOVE	emcimade2	
14016	Nheengatu	ABOVE	apira	apira	a p i r a	a p i r a	537	33	ABOVE	emcimade	
14357	Tupí Austral	ABOVE	ara / ibati	ara	a r a	- a r a	1	3	ABOVE	emcimade23	
14358	Tupí Austral	ABOVE	ara / ibati	ibati	i b a + t i	- i b a + t i	2	2 7	LOW DIFFERENT	emcimade23	
14632	Yuki	ABOVE	ibáte	ibáte	i b á + t e	- i b á + t e	2	2 7	LOW DIFFERENT	emcimade3	
14875	Guarayo	ABOVE	aramo / arɨve	aramo	a r a + m o	- a r a + m o	1	3 17	ABOVE THERE	emcimade	
14876	Guarayo	ABOVE	aramo / arɨve	arɨve	a r ɨ + v e	- a r ɨ + v e	1	3 17	ABOVE ?	emcimade	
15182	Siriono	ABOVE	ibate	ibate	i b a + t e	- i b a + t e	2	2 7	LOW DIFFERENT	emcimade3	
15511	Warazu	ABOVE	iwate	iwate	i w a + t e	- i w a + t e	2	2 7	LOW DIFFERENT	emcimade3	
15754	Chiriguano	ABOVE	ɨwati	ɨwati	ɨ w a + t i	- ɨ w a + t i	2	2 7	LOW DIFFERENT	emcimade3	
16131	Mbya	ABOVE	arõ / arɨ	arõ	a r õ	- a r õ	1	3	ABOVE	emcimade2	
16132	Mbya	ABOVE	arõ / arɨ	arɨ	a r ɨ	- a r ɨ	1	3	ABOVE	emcimade2	
16491	Guarani	ABOVE	ʔári	ʔári	ʔ á r i	ʔ á r i	1	3	ABOVE	emcimade2	
16824	Old_Guarani	ABOVE	ɨβate / ʔar / osé / osepe	ɨβate	ɨ β a + t e	- ɨ β a + t e	2	2 7	LOW DIFFERENT	emcimade3	
17630	Kaiowa	ABOVE	ári	ári	á r i	- á r i	1	3	ABOVE	emcimade2	
17846	Tapiete	ABOVE	wate	wate	w a + t e	- - w a + t e	2	2 7	LOW DIFFERENT	emcimade3	
18180	Ñandeva	ABOVE	ʔarɨ	ʔarɨ	ʔ a r ɨ	ʔ a r ɨ	1	3	ABOVE	emcimade2	
18361	Omagua	ABOVE	ɨwati	ɨwati	ɨ w a + t i	- ɨ w a + t i	2	2 7	LOW DIFFERENT	emcimade3	
18641	Kokama	ABOVE	arɨwa	arɨwa	a r ɨ + w a	- a r ɨ + w a	1	3 17	ABOVE ?	emcimade2	
19074	Nheengatu	ABOVE	ararupi	ararupi	a r a + r u p i	- a r a + r u p i	1	3 35	ABOVE POSTPOSITION		
