ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	ALIGNMENT	COGID	COGIDS	MORPHEMES	COGNACY	NOTE
6035	Mawe	ABOVE	tote	tote	t o t e	- t o t e -	2745	979	ABOVE	emcimade1	
6705	Parakana	ABOVE	ɨwate	ɨwate	ɨ w a + t e	- ɨ w a + t e	2	2 7	LOW DIFFERENT	emcimade3	
7065	Asuriní Tocantins	ABOVE	ʔarimo	ʔarimo	ʔ a r i + m o	ʔ a r i + m o	1	3 17	ABOVE THERE	emcimade2	
7295	Surui-Aikewara	ABOVE	ɨwete	ɨwete	ɨ w e + t e	- ɨ w e + t e	2	2 7	LOW DIFFERENT	emcimade3	
7626	Tapirapé	ABOVE	ʔarimo	ʔarimo	ʔ a r i + m o	ʔ a r i + m o	1	3 17	ABOVE THERE	emcimade2	
7897	Tembe	ABOVE	ʔaramo / iwate	ʔaramo	ʔ a r a + m o	ʔ a r a + m o	1	3 17	ABOVE THERE	emcimade23	
7898	Tembe	ABOVE	ʔaramo / iwate	iwate	i w a + t e	- i w a + t e	2	2 7	LOW DIFFERENT	emcimade23	
8231	Guajajara	ABOVE	ʔaromo	ʔaromo	ʔ a r o + m o	ʔ a r o + m o	1	3 17	ABOVE THERE	emcimade2	
8567	Apiaka	ABOVE	iwate	iwate	i w a + t e	- i w a + t e	2	2 7	LOW DIFFERENT	emcimade3	
8815	Parintintin	ABOVE	ʔara	ʔara	ʔ a r a	ʔ a r a	1	3	ABOVE	emcimade2	
9181	Amondawa	ABOVE	ʔarimo	ʔarimo	ʔ a r i + m o	ʔ a r i + m o	1	3 17	ABOVE THERE	emcimade2	
9482	Tenharim	ABOVE	ʔara	ʔara	ʔ a r a	ʔ a r a	1	3	ABOVE	emcimade2	
9947	Urueuwauwau	ABOVE	ʔarimo	ʔarimo	ʔ a r i + m o	ʔ a r i + m o	1	3 17	ABOVE THERE	emcimade2	
10297	Kayabi	ABOVE	ʔarimũ	ʔarimũ	ʔ a r i + m ũ	ʔ a r i + m ũ	1	3 17	ABOVE THERE	emcimade2	
10531	Araweté	ABOVE	uhe	uhe	u h e	- u h e -	3	4	ABOVE	emcimade	
10900	Guajá	ABOVE	ehe	ehe	e h e	- e h e -	3	4	ABOVE	emcimade	
11243	Teko	ABOVE	ʔal / wate kɨti	ʔal	ʔ a l	ʔ a l	1	3	ABOVE	emcimade23	
11244	Teko	ABOVE	ʔar / wate kɨti	wate kɨti	w a t e + k ɨ t i	w a t e + k ɨ t i	2	27 34	HIGH DIRECTIVE	emcimade23	
11614	Wayampi	ABOVE	alɨwo / wate	alɨwo	a l ɨ + w o	- a l ɨ + w o	1	3 17	ABOVE THERE	emcimade23	
11615	Wayampi	ABOVE	alɨwo / wate	wate	w a + t e	- - w a + t e	2	2 7	LOW DIFFERENT	emcimade23	
12019	Zo'e	ABOVE	ʔat / wate	ʔat	ʔ a t	ʔ a t -	1	3	ABOVE	emcimade23	
12020	Zo'e	ABOVE	ʔat / wate	wate	w a + t e	- - w a + t e	2	2 7	LOW DIFFERENT	emcimade23	
12260	Ka'apor	ABOVE	ʔar	ʔar	ʔ a r	ʔ a r -	1	3	ABOVE	emcimade2	
12577	Anambe	ABOVE	aha / amũ	aha	a h a	- a h a -	3	4	ABOVE	emcimade	
12578	Anambe	ABOVE	aha / amũ	amũ	a + m ũ	- a - - + m ũ	1	3 17	ABOVE THERE	emcimade	
12852	Kamajura	ABOVE	ʔarim	ʔarim	ʔ a r i + m	ʔ a r i + m -	1	3 17	ABOVE THERE	emcimade2	
13129	Asuriní Xingu	ABOVE	árimo	árimo	á r i + m o	- á r i + m o	1	3 17	ABOVE THERE	emcimade2	
13394	Avá Canoeiro	ABOVE	ɨwati	ɨwati	ɨ w a + t i	- ɨ w a + t i	2	2 7	LOW DIFFERENT	emcimade3	
13609	Tupinambá	ABOVE	ʔaɾi	ʔaɾi	ʔ a ɾ i	ʔ a ɾ i	1	3	ABOVE	emcimade2	
14016	Nheengatu	ABOVE	apira	apira	a p i r a	a p i r a	537	33	ABOVE	emcimade	
14632	Yuki	ABOVE	ibáte	ibáte	i b á + t e	- i b á + t e	2	2 7	LOW DIFFERENT	emcimade3	
14875	Guarayo	ABOVE	aramo / arɨve	aramo	a r a + m o	- a r a + m o	1	3 17	ABOVE THERE	emcimade	
14876	Guarayo	ABOVE	aramo / arɨve	arɨve	a r ɨ + v e	- a r ɨ + v e	1	3 17	ABOVE ?	emcimade	
15182	Siriono	ABOVE	ibate	ibate	i b a + t e	- i b a + t e	2	2 7	LOW DIFFERENT	emcimade3	
15511	Warazu	ABOVE	iwate	iwate	i w a + t e	- i w a + t e	2	2 7	LOW DIFFERENT	emcimade3	
15754	Chiriguano	ABOVE	ɨwati	ɨwati	ɨ w a + t i	- ɨ w a + t i	2	2 7	LOW DIFFERENT	emcimade3	
16131	Mbya	ABOVE	arõ / arɨ	arõ	a r õ	- a r õ	1	3	ABOVE	emcimade2	
16132	Mbya	ABOVE	arõ / arɨ	arɨ	a r ɨ	- a r ɨ	1	3	ABOVE	emcimade2	
16491	Guaraní	ABOVE	ʔári	ʔári	ʔ á r i	ʔ á r i	1	3	ABOVE	emcimade2	
16824	Old Guaraní	ABOVE	ɨβate / ʔar / osé / osepe	ɨβate	ɨ β a + t e	- ɨ β a + t e	2	2 7	LOW DIFFERENT	emcimade3	
17630	Kaiowa	ABOVE	ári	ári	á r i	- á r i	1	3	ABOVE	emcimade2	
17846	Tapiete	ABOVE	wate	wate	w a + t e	- - w a + t e	2	2 7	LOW DIFFERENT	emcimade3	
18361	Omagua	ABOVE	ɨwati	ɨwati	ɨ w a + t i	- ɨ w a + t i	2	2 7	LOW DIFFERENT	emcimade3	
18641	Kokama	ABOVE	arɨwa	arɨwa	a r ɨ + w a	- a r ɨ + w a	1	3 17	ABOVE ?	emcimade2	
19074	Nheengatu	ABOVE	ararupi	ararupi	a r a + r u p i	- a r a + r u p i	1	3 35	ABOVE POSTPOSITION		
19480	Ache	ABOVE	jabu	jabu	j a + b u	j a + b u	2008	278 281	DEMONSTRATIVE CONDITIONAL		
20388	Mawe	ABOVE	upi	upi	u p i	- u p i	1	35	ABOVE		
20449	Old Guaraní	ABOVE	ɨβate / ʔar / osé / osep	ʔar	ʔ a r	ʔ a r -	1	3	ABOVE		
20479	Old Guaraní	ABOVE	ɨβate / ʔar / osé / osep	osé	o s é	o s é	2822	533	ABOVE		
20482	Old Guaraní	ABOVE	ɨβate / ʔar / osé / osep	osepe	o s e + p e	o s e + p e	2822	533 534	ABOVE ?		
6036	Mawe	AFTER	hawɨj / ẽ	hawɨj	h a w ɨi	h a w ɨi	13	2554	AFTER	depoisde5	
6037	Mawe	AFTER	hawɨj / ẽ	ẽ	ẽ	- - - - - - ẽ - -	8	65	AFTER	depoisde5	
6706	Parakana	AFTER	ʃowe	ʃowe	ʃ o w e	ʃ o w e -	3984	2338	AFTER	depoisde5	
7627	Tapirapé	AFTER	ãʔẽre / ire / rewe	ãʔẽre	ã ʔ ẽ r e	- - ã ʔ ẽ r e - -	8	65	AFTER	depoisde1	
7628	Tapirapé	AFTER	ãʔẽre / ire / rewe	ire	i r e	- - - - i r e - -	8	65	AFTER	depoisde1	
7629	Tapirapé	AFTER	ãʔẽre / ire / rewe	rewe	r e w e	- - - - - r e w e	8	65	AFTER	depoisde1	
7899	Tembe	AFTER	re / rire	re	r e	- - - - - r e - -	8	65	AFTER	depoisde1	
7900	Tembe	AFTER	re / rire	rire	r i r e	- - - r i r e - -	8	65	AFTER	depoisde1	
8232	Guajajara	AFTER	ire	ire	i r e	- - - - i r e - -	8	65	AFTER	depoisde1	
8568	Apiaka	AFTER	re	re	r e	- - - - - r e - -	8	65	AFTER	depoisde1	
8816	Parintintin	AFTER	aẽre / re	aẽre	a ẽ r e	- - a - ẽ r e - -	8	65	AFTER	depoisde1	
8817	Parintintin	AFTER	aẽre / re	re	r e	- - - - - r e - -	8	65	AFTER	depoisde1	
9182	Amondawa	AFTER	aẽre / re	aẽre	a ẽ r e	- - a - ẽ r e - -	8	65	AFTER	depoisde1	
9183	Amondawa	AFTER	aẽre / re	re	r e	- - - - - r e - -	8	65	AFTER	depoisde1	
9483	Tenharim	AFTER	aẽre / re	aẽre	a ẽ r e	- - a - ẽ r e - -	8	65	AFTER	depoisde1	
