cc_alias	cc_id	language	lexeme	lexeme_id	status	comments 1	comments 2	comments 3	concept
all-A	175	Afrikaans	AL, ALLE	201					all
all-A	175	Danish	ɛl	4714					all
all-A	175	Dutch_List	'ɑləs	4914					all
all-A	175	English	ɔ:l	5113					all
all-A	175	Faroese	ALLIR	5313					all
all-A	175	Flemish	ALLE, ALLES	5510					all
all-A	175	Frisian	ɔlə, ɔləs, ɔləgjɛr(ə)	6302					all
all-A	175	German	'alə	6493					all
all-A	175	Gothic	allai	19913					all
all-A	175	Icelandic_ST	ALLIR	8257					all
all-A	175	Luxembourgish	all	24092					all
all-A	175	Norwegian	alə	13150					all
all-A	175	Old_English	ealle	21319					all
all-A	175	Old_High_German	alle	27876					all
all-A	175	Old_Norse	allir	21561					all
all-A	175	Schwyzerdutsch	au	29005					all
all-A	175	Swedish	ˈala	16109					all
all-C	543	Catalan	tot	3929					all
all-C	543	French	tu	5707					all
all-C	543	Friulian	dut	26163					all
all-C	543	Italian	'tutto	8845					all
all-C	543	Ladin	TUOT	9426					all
all-C	543	Latin	tōtus	20335	EXCLUDE		SS	Lat. eig. ‹ganz›; Etwicklung zu ‹alle›: wohl über Kollektiva wie osk. touto = lat. Civitas	all
all-C	543	Portuguese_ST	ˈtoðu	12750					all
all-C	543	Provencal	TOUT, TOUTO	12950					all
all-C	543	Romansh	tut(ta)	26370					all
all-C	543	Rumanian_List	TOTI (M. PL.), TOATE (N. PL.)	13348					all
all-C	543	Sardinian_C	TOTTU	13939					all
all-C	543	Sardinian_N	TOTTU	14338					all
all-C	543	Spanish	'toðo	15909					all
all-C	543	Walloon	TOT	17846					all
all-G	965	Breton_ST	ɔl	2949					all
all-G	965	Cornish	an ol	19580					all
all-G	965	Cornish	ol an	19579					all
all-G	965	Cornish	oll	19581					all
all-G	965	Irish_B	UILE	8651					all
all-G	965	Old_Irish	uili	28131					all
all-G	965	Scots_Gaelic	uile	23858					all
all-K	2135	Welsh_N	POB	18438					all
all-M	3154	Latin	ˈomnis	20334			SS	Lat. ‹ein jeder›	all
and-B	176	Afrikaans	EN	202					and
and-B	176	Dutch_List	ɛn	4915					and
and-B	176	English	ænd	5114					and
and-B	176	Flemish	EN	5511					and
and-B	176	Frisian	ɛn	6303					and
and-B	176	German	ʊnt	6494					and
and-B	176	Luxembourgish	an	24291					and
and-B	176	Old_English	and	21320					and
and-B	176	Old_High_German	inti	27877					and
and-B	176	Schwyzerdutsch	und	29006					and
and-F	848	Catalan	i	3930					and
and-F	848	French	e	5708					and
and-F	848	Friulian	e	26164					and
and-F	848	Italian	e, ed	8846					and
and-F	848	Ladin	E, ED	9427					and
and-F	848	Latin	et	20336					and
and-F	848	Portuguese_ST	i	12751					and
and-F	848	Provencal	E, EME, EMAI	12951					and
and-F	848	Romansh	e, ed	26371					and
and-F	848	Sardinian_C	E	13940					and
and-F	848	Sardinian_N	E	14339					and
and-F	848	Spanish	i	15910					and
and-F	848	Walloon	ET	17847					and
and-G	966	Breton_ST	a	2950					and
and-G	966	Cornish	ha(g)	19582					and
and-G	966	Irish_B	ˈaɡəs	8652					and
and-G	966	Old_Irish	ocus	28132					and
and-G	966	Scots_Gaelic	agus	24071					and
and-G	966	Welsh_N	a:	18439					and
and-I	1303	Danish	ɒw, ʌ	4715					and
and-I	1303	Faroese	oː	5314					and
and-I	1303	Icelandic_ST	ɔːɣ	8258					and
and-I	1303	Norwegian	OG	13151					and
and-I	1303	Old_Norse	ok	21562					and
and-I	1303	Swedish	ɔ(kː)	16110					and
and-M	1884	Rumanian_List	IAR	13349					and
animal-A	177	Afrikaans	DIER	203					animal
animal-A	177	Danish	ˈd̥yːʌ, 'd̥yɐ̯	4716					animal
animal-A	177	Dutch_List	dir	4916					animal
animal-A	177	Faroese	dʊir	26949					animal
animal-A	177	Faroese	dʒɔur	5315					animal
animal-A	177	Flemish	DIER	5512					animal
animal-A	177	Frisian	di.ər	27667					animal
animal-A	177	German	ti:ɐ̯	6495					animal
animal-A	177	Gothic	dius	19915					animal
animal-A	177	Icelandic_ST	tiːr	8259					animal
animal-A	177	Luxembourgish	Déier	24120					animal
animal-A	177	Norwegian	dyːɾ	13152					animal
animal-A	177	Old_English	dēor	21321					animal
animal-A	177	Old_High_German	tior	27878					animal
animal-A	177	Old_Norse	dýr	21563					animal
animal-A	177	Schwyzerdutsch	tier	29007					animal
animal-A	177	Swedish	jʉːr	16111					animal
animal-F	849	Breton_ST	ɑ̃ˈneval	2951	LOAN	Latin			animal
animal-F	849	Catalan	əni’mal	3931	LOAN	Latin			animal
animal-F	849	Cornish	enyval	19583	LOAN	Latin			animal
animal-F	849	English	'ænɪməl	5115	LOAN	Latin			animal
animal-F	849	French	animal	5709					animal
